12	2995645133	 1304	    641.59	1900311.53	  449	8	12	25	35
13	2995829634	 1052	    573.56	1902949.57	  298	1	21	22	42
14	2995963882	 2002	    989.71	1901426.07	  677	5	15	26	35
15	2996134263	  738	    363.22	1902173.91	  227	3	21	25	41
16	2996282737	 1791	    874.69	1895627.64	  614	9	11	25	35
1	2996467237	 1050	    565.34	1906577.69	  295	1	21	22	40
2	2996601481	 2002	    973.62	1896116.99	  669	8	12	25	35
3	2996771861	  739	    365.58	1900882.55	  232	3	20	25	41
4	2996920333	 1795	    895.82	1898380.79	  609	5	19	29	38
5	2997104836	 1053	    581.47	1902949.57	  304	1	21	22	42
6	2997239083	 1584	    780.32	1899936.67	  545	7	13	26	36
7	2997409464	  739	    365.34	1900882.55	  235	3	20	25	41
8	2997557941	 1374	    681.15	1897810.22	  470	5	16	26	36
9	2997742443	 1052	    578.22	1902949.57	  298	1	21	22	42
10	2997876689	 1981	    983.41	1898443.48	  682	8	12	26	36
11	2998047071	  738	    365.21	1902173.91	  230	3	20	25	40
12	2998195545	 1792	    887.18	1895627.64	  610	8	12	25	35
13	2998380065	 1031	    549.59	1903836.81	  295	2	21	24	42
14	2998514292	 1979	    973.55	1899412.82	  679	8	11	25	35
15	2998684670	  740	    368.40	1898305.08	  235	3	21	26	42
16	2998833144	 1746	    856.90	1901408.45	  602	25	36	44	65
1	2999017667	 1011	    551.64	1902874.13	  299	1	21	22	42
2	2999151893	 2000	    983.54	1897552.36	  684	7	11	25	35
3	2999322272	  739	    361.65	1899592.94	  226	3	20	25	41
4	2999470723	 1352	    668.24	1898405.64	  458	4	20	29	37
5	2999655225	 1053	    583.66	1902949.57	  298	1	21	22	42
6	2999789493	 2002	    988.53	1896595.21	  684	8	12	25	35
7	2999959873	  740	    360.23	1899592.94	  235	4	20	26	41
8	3000108327	 1793	    882.22	1895093.06	  615	9	12	26	36
9	3000292828	 1051	    564.07	1905669.37	  296	2	21	23	42
10	3000427096	 1934	    957.18	1902273.32	  662	9	12	25	34
11	3000597457	  739	    372.00	1900882.55	  236	2	20	24	40
12	3000745909	 1773	    884.14	1897768.99	  601	2	21	29	36
13	3000930368	 1095	    618.36	1903890.16	  300	1	21	22	42
14	3001064698	 1981	    978.25	1896507.77	  676	7	11	25	35
15	3001235057	  738	    368.76	1902173.91	  229	2	20	24	40
16	3001383509	 1793	    887.83	1901034.39	  611	6	15	26	36
1	3001568031	 1030	    555.22	1904761.90	  305	1	20	22	40
2	3001702275	 1585	    780.54	1897533.21	  541	5	19	29	37
3	3001872657	  739	    362.83	1900882.55	  231	3	20	25	41
